"landed_year","dealer_state","dealer_city","total_live_lbs","total_value","total_adjusted_val","perc_change_Val","perc_change_lbs"
1977,"LA","ABBEVILLE",249225,155187,528266,0,0
1978,"LA","ABBEVILLE",363785,326733,1039102,96.7,45.97
1979,"LA","ABBEVILLE",154851,212948,625357,-39.82,-57.43
1981,"LA","ABBEVILLE",185037,213305,524851,-16.07,19.49
1983,"LA","ABBEVILLE",621,721,1608,-99.69,-99.66
1984,"LA","ABBEVILLE",1703984,2510763,5404144,335978.61,274293.56
1985,"LA","ABBEVILLE",2197611,3653325,7622303,41.05,28.97
1986,"LA","ABBEVILLE",2713633,6395551,13080335,71.61,23.48
1987,"LA","ABBEVILLE",3488391,7297699,14565188,11.35,28.55
1988,"LA","ABBEVILLE",4223625,7761742,14963523,2.73,21.08
1989,"LA","ABBEVILLE",4069600,6943209,12880510,-13.92,-3.65
1990,"LA","ABBEVILLE",4617305,7767935,13890505,7.84,13.46
1991,"LA","ABBEVILLE",4872130,9285358,16060762,15.62,5.52
1992,"LA","ABBEVILLE",4967680,9091639,15375331,-4.27,1.96
1993,"LA","ABBEVILLE",6008225,11472619,18952633,23.27,20.95
1994,"LA","ABBEVILLE",8148543,19194248,31046076,63.81,35.62
1995,"LA","ABBEVILLE",8610088,18704246,29631789,-4.56,5.66
1996,"LA","ABBEVILLE",7884482,15957918,24826433,-16.22,-8.43
1997,"LA","ABBEVILLE",7710638,18746812,28670914,15.49,-2.2
1998,"LA","ABBEVILLE",9136095,19765456,29892507,4.26,18.49
1999,"LA","ABBEVILLE",12233540,26783371,39943365,33.62,33.9
2000,"LA","ABBEVILLE",15192212,38819024,56609853,41.73,24.18
2001,"LA","ABBEVILLE",13008749,29614179,42234808,-25.39,-14.37
2002,"LA","ABBEVILLE",14429151,28649659,40232428,-4.74,10.92
2003,"LA","ABBEVILLE",14815415,23196309,31943949,-20.6,2.68
2004,"LA","ABBEVILLE",14143094,22441853,30097046,-5.78,-4.54
2005,"LA","ABBEVILLE",14521651,23677945,30789119,2.3,2.68
2006,"LA","ABBEVILLE",21450039,28002616,35322707,14.72,47.71
2007,"LA","ABBEVILLE",16274093,26479564,32522513,-7.93,-24.13
2008,"LA","ABBEVILLE",13167956,25394977,30603397,-5.9,-19.09
2009,"LA","ABBEVILLE",18951309,23814231,28515728,-6.82,43.92
2010,"LA","ABBEVILLE",9358993,16812515,19892635,-30.24,-50.62
2011,"LA","ABBEVILLE",11463473,23292855,26999248,35.72,22.49
2012,"LA","ABBEVILLE",12634229,23629709,26886827,-0.42,10.21
2013,"LA","ABBEVILLE",10156631,24331684,27209133,1.2,-19.61
2014,"LA","ABBEVILLE",10519616.85,30105033.7,33047169,21.46,3.57
2015,"LA","ABBEVILLE",NA,16082866.64,17479752,-47.11,NA
2016,"LA","ABBEVILLE",9205378.4,17000196.53,18293462,4.66,NA
2017,"LA","ABBEVILLE",12067903,24441716,25810695,41.09,31.1
2018,"LA","ABBEVILLE",8337131,16821667,17346874,-32.79,-30.91
2019,"LA","ABBEVILLE",6556050,12595022,12759414,-26.45,-21.36
2020,"LA","ABBEVILLE",5494743,9780715,9780715,-23.35,-16.19
1999,"LA","ABITA SPRINGS",569,949,1415,0,0
2000,"LA","ABITA SPRINGS",743,1180,1721,21.63,30.58
2002,"LA","ABITA SPRINGS",340,1634,2295,33.35,-54.24
2009,"LA","ABITA SPRINGS",1698,2438,2919,27.19,399.41
2018,"LA","ABITA SPRINGS",51,159,164,-94.38,-97
2000,"LA","ADDIS",60278,172538,251612,0,0
2001,"LA","ADDIS",43386,114234,162916,-35.25,-28.02
2002,"LA","ADDIS",3125,1974,2772,-98.3,-92.8
2003,"LA","ADDIS",458,824,1134,-59.09,-85.34
2004,"LA","ADDIS",15406,33283,44637,3836.24,3263.76
2005,"LA","ADDIS",106086,240658,312934,601.06,588.6
2006,"LA","ADDIS",52870,105522,133106,-57.47,-50.16
2007,"LA","ADDIS",188276,315770,387832,191.37,256.11
2008,"LA","ADDIS",207310,421716,508208,31.04,10.11
2009,"LA","ADDIS",148245,230524,276034,-45.68,-28.49
2011,"LA","ADDIS",45764,119950,139036,-49.63,-69.13
2012,"LA","ADDIS",56896,149477,170080,22.33,24.32
2013,"LA","ADDIS",36522,106213,118774,-30.17,-35.81
2014,"LA","ADDIS",14406,58560,64283,-45.88,-60.56
2015,"LA","ADDIS",19354,49431,53725,-16.42,34.35
2016,"LA","ADDIS",8624,11812.25,12711,-76.34,-55.44
2017,"LA","ADDIS",344,603,637,-94.99,-96.01
1999,"LA","AKERS",60042,41694,62180,0,0
2000,"LA","AKERS",901828,873018,1273123,1947.48,1402
2001,"LA","AKERS",880138,1000115,1426332,12.03,-2.41
2002,"LA","AKERS",1058985,1091390,1532628,7.45,20.32
2003,"LA","AKERS",1020699,1436315,1977969,29.06,-3.62
2004,"LA","AKERS",807836,891957,1196215,-39.52,-20.85
2005,"LA","AKERS",664111,671460,873118,-27.01,-17.79
2006,"LA","AKERS",1026998,958533,1209099,38.48,54.64
2007,"LA","AKERS",975293,993187,1219845,0.89,-5.03
2008,"LA","AKERS",745342,955069,1150952,-5.65,-23.58
2009,"LA","AKERS",721669,694221,831277,-27.77,-3.18
2010,"LA","AKERS",427739,715110,846121,1.79,-40.73
2011,"LA","AKERS",483207,546714,633707,-25.1,12.97
2012,"LA","AKERS",419404,626885,713294,12.56,-13.2
2013,"LA","AKERS",251771,381888,427051,-40.13,-39.97
2014,"LA","AKERS",229999.59,468556.31,514349,20.44,-8.65
2015,"LA","AKERS",NA,397883.9,432442,-15.92,NA
2016,"LA","AKERS",1493.29,3005,3234,-99.25,NA
2017,"LA","AKERS",250,601,635,-80.36,-83.26
2000,"LA","ALBANY",193,176,257,0,0
2002,"LA","ALBANY",789,1887,2650,931.13,308.81
2004,"LA","ALBANY",14246,22162,29722,1021.58,1705.58
2005,"LA","ALBANY",2986,4428,5758,-80.63,-79.04
2006,"LA","ALBANY",51801,69674,87887,1426.35,1634.8
2007,"LA","ALBANY",29704,37108,45576,-48.14,-42.66
2008,"LA","ALBANY",22791,30685,36979,-18.86,-23.27
2009,"LA","ALBANY",55762,75804,90769,145.46,144.67
2010,"LA","ALBANY",18053,26780,31686,-65.09,-67.62
2011,"LA","ALBANY",40352,62265,72174,127.78,123.52
2012,"LA","ALBANY",18992,27494,31284,-56.65,-52.93
2013,"LA","ALBANY",12195,20042,22412,-28.36,-35.79
2014,"LA","ALBANY",18152.9,39522.56,43386,93.58,48.86
2015,"LA","ALBANY",25501.82,53445.97,58089,33.89,40.48
2016,"LA","ALBANY",12832.24,27422.92,29509,-49.2,-49.68
2017,"LA","ALBANY",19531,29903,31579,7.01,52.2
2018,"LA","ALBANY",5421,9667,9969,-68.43,-72.24
2000,"LA","ALEXANDRIA",5354,9746,14213,0,0
2004,"LA","ALEXANDRIA",80,32,43,-99.7,-98.51
2010,"LA","ALEXANDRIA",3721,10540,12471,28902.33,4551.25
2012,"LA","ALEXANDRIA",6301,6885,7834,-37.18,69.34
1997,"FL","ALTAMONTE SPRINGS",84,175,267,0,0
2001,"FL","ALTAMONTE SPRINGS",347,740,1055,295.13,313.1
2016,"FL","ALVA",11.1,49,53,0,0
2003,"TX","ALVIN",113244,215760,297126,0,0
2008,"TX","ALVIN",4609,10330,12449,-95.81,-95.93
2009,"TX","ALVIN",44126,54618,65401,425.35,857.39
2010,"TX","ALVIN",9391,11438,13533,-79.31,-78.72
2005,"LA","AMA",725,1452,1888,0,0
2006,"LA","AMA",1180,1947,2456,30.08,62.76
2009,"LA","AMA",1893,2083,2494,1.55,60.42
2010,"LA","AMA",6305,19153,22661,808.62,233.07
2011,"LA","AMA",1050,2445,2834,-87.49,-83.35
2012,"LA","AMA",2239,5125,5832,105.79,113.24
2013,"LA","AMA",2526,6491,7259,24.47,12.82
2014,"LA","AMA",1858,6835,7503,3.36,-26.44
2015,"LA","AMA",8185,12390,13466,79.47,340.53
2016,"LA","AMA",2365,5476,5892,-56.25,-71.11
2017,"LA","AMA",4218,11037,11655,97.81,78.35
2018,"LA","AMA",2266,7615,7853,-32.62,-46.28
2019,"LA","AMA",663,1831,1855,-76.38,-70.74
1999,"LA","AMELIA",205,246,367,0,0
2000,"LA","AMELIA",77661,49650,72406,19629.16,37783.41
2001,"LA","AMELIA",8052,6467,9223,-87.26,-89.63
2002,"LA","AMELIA",9925,4590,6445,-30.12,23.26
2003,"LA","AMELIA",36525,33929,46724,624.97,268.01
2004,"LA","AMELIA",21646,26172,35100,-24.88,-40.74
2005,"LA","AMELIA",24018,5747,7473,-78.71,10.96
2006,"LA","AMELIA",37742,30174,38062,409.33,57.14
2007,"LA","AMELIA",25669,28133,34554,-9.22,-31.99
2008,"LA","AMELIA",24618,53058,63940,85.04,-4.09
2009,"LA","AMELIA",38683,100183,119962,87.62,57.13
2010,"LA","AMELIA",34370,77039,91153,-24.02,-11.15
2011,"LA","AMELIA",13314,32723,37930,-58.39,-61.26
2012,"LA","AMELIA",12453,33536,38158,0.6,-6.47
2013,"LA","AMELIA",9612,28179,31511,-17.42,-22.81
2014,"LA","AMELIA",2299,7350,8068,-74.4,-76.08
2015,"LA","AMELIA",9547,33450,36355,350.61,315.27
2016,"LA","AMELIA",16100,43294,46587,28.14,68.64
2017,"LA","AMELIA",2051,6163,6508,-86.03,-87.26
2018,"LA","AMELIA",2202,7176,7400,13.71,7.36
2019,"LA","AMELIA",8074,21532,21813,194.77,266.67
2020,"LA","AMELIA",2645,10047,10047,-53.94,-67.24
2009,"LA","AMITE CITY",15,8,10,0,0
2011,"LA","AMITE CITY",516,527,611,6010,3340
2012,"LA","AMITE CITY",389,514,584,-4.42,-24.61
2013,"LA","AMITE CITY",2460,6410,7168,1127.4,532.39
2017,"LA","AMITE CITY",10,80,84,-98.83,-99.59
2020,"LA","AMITE CITY",319,415,415,394.05,3090
2006,"LA","ANACOCO",464,695,877,0,0
2017,"LA","ANACOCO",510,1913,2020,130.33,9.91
1977,"TX","ANAHUAC",749084,595904,2028493,0,0
1978,"TX","ANAHUAC",1384150,1343837,4273775,110.69,84.78
1979,"TX","ANAHUAC",618886,835833,2454560,-42.57,-55.29
1980,"TX","ANAHUAC",810477,972444,2619150,6.71,30.96
1981,"TX","ANAHUAC",639792,766103,1885047,-28.03,-21.06
1982,"TX","ANAHUAC",773967,1167263,2705007,43.5,20.97
1983,"TX","ANAHUAC",908370,1264532,2819973,4.25,17.37
1984,"TX","ANAHUAC",838970,895515,1927498,-31.65,-7.64
1985,"TX","ANAHUAC",756804,770740,1608072,-16.57,-9.79
1986,"TX","ANAHUAC",945815,1115183,2280799,41.83,24.97
1987,"TX","ANAHUAC",1028690,993443,1982773,-13.07,8.76
1988,"TX","ANAHUAC",794638,824100,1588745,-19.87,-22.75
1989,"TX","ANAHUAC",433528,333125,617986,-61.1,-45.44
1990,"TX","ANAHUAC",159321,169684,303428,-50.9,-63.25
1991,"TX","ANAHUAC",309722,298060,515550,69.91,94.4
1992,"TX","ANAHUAC",280421,373118,630999,22.39,-9.46
1993,"TX","ANAHUAC",143600,144562,238815,-62.15,-48.79
1994,"TX","ANAHUAC",312913,562378,909629,280.89,117.91
1995,"TX","ANAHUAC",252108,293787,465426,-48.83,-19.43
1996,"TX","ANAHUAC",835060,1017828,1583480,240.22,231.23
1997,"TX","ANAHUAC",250136,434266,664156,-58.06,-70.05
1998,"TX","ANAHUAC",156777,189778,287013,-56.79,-37.32
1999,"TX","ANAHUAC",129174,169610,252948,-11.87,-17.61
2000,"TX","ANAHUAC",268192,409827,597652,136.27,107.62
2001,"TX","ANAHUAC",181339,242867,346369,-42.05,-32.38
2002,"TX","ANAHUAC",384669,396023,556131,60.56,112.13
2003,"TX","ANAHUAC",245328,196390,270452,-51.37,-36.22
2004,"TX","ANAHUAC",129020,111600,149669,-44.66,-47.41
2005,"TX","ANAHUAC",161046,205856,267681,78.85,24.82
2008,"TX","ANAHUAC",1250206,2595428,3127741,1068.46,676.3
2009,"TX","ANAHUAC",1691251,2850767,3413576,9.14,35.28
2010,"TX","ANAHUAC",1586814,3151139,3728440,9.22,-6.18
2011,"TX","ANAHUAC",1250042,2618961,3035694,-18.58,-21.22
2012,"TX","ANAHUAC",1810069,4202985,4782324,57.54,44.8
2013,"TX","ANAHUAC",1468580,3936749,4402307,-7.95,-18.87
2014,"TX","ANAHUAC",1229613.06,3136794.95,3443351,-21.78,-16.27
2015,"TX","ANAHUAC",1397005.46,2066211.85,2245675,-34.78,13.61
2016,"TX","ANAHUAC",802817.98,1680726.05,1808586,-19.46,-42.53
2017,"TX","ANAHUAC",857495,2096258,2213669,22.4,6.81
2018,"TX","ANAHUAC",660827,1678179,1730576,-21.82,-22.94
2019,"TX","ANAHUAC",845778,2342595,2373171,37.13,27.99
2020,"TX","ANAHUAC",NA,2931495,2931495,23.53,NA
2004,"LA","ANGIE",20,144,193,0,0
2006,"LA","ANGIE",822,545,687,255.96,4010
2007,"LA","ANGIE",3194,3002,3687,436.68,288.56
2008,"LA","ANGIE",688,1239,1493,-59.51,-78.46
2009,"LA","ANGIE",1374,2474,2962,98.39,99.71
2011,"LA","ANGIE",388,699,810,-72.65,-71.76
2012,"LA","ANGIE",1002,3910,4449,449.26,158.25
2013,"LA","ANGIE",5143,8702,9732,118.75,413.27
2017,"LA","ANGIE",1118,2012,2125,-78.16,-78.26
2018,"LA","ANGIE",707,1230,1268,-40.33,-36.76
2020,"LA","ANGIE",59,107,107,-91.56,-91.65
1990,"FL","ANNA MARIA",1124,2886,5160,0,0
1991,"FL","ANNA MARIA",175,278,481,-90.68,-84.43
1993,"FL","ANNA MARIA",10466,21020,34725,7119.33,5880.57
1994,"FL","ANNA MARIA",7702,15404,24915,-28.25,-26.41
1995,"FL","ANNA MARIA",2987,5967,9453,-62.06,-61.22
1996,"FL","ANNA MARIA",1408,3793,5901,-37.58,-52.86
1997,"FL","ANNA MARIA",3646,10864,16616,181.58,158.95
1998,"FL","ANNA MARIA",2528,6409,9693,-41.66,-30.66
1999,"FL","ANNA MARIA",1450,3717,5544,-42.8,-42.64
2000,"FL","ANNA MARIA",14697,49560,72273,1203.63,913.59
2001,"FL","ANNA MARIA",18932,50642,72227,-0.06,28.82
2002,"FL","ANNA MARIA",14012,49068,68903,-4.6,-25.99
2003,"FL","ANNA MARIA",8574,36117,49737,-27.82,-38.81
2004,"FL","ANNA MARIA",9613,71075,95320,91.65,12.12
2005,"FL","ANNA MARIA",10293,37280,48477,-49.14,7.07
2006,"FL","ANNA MARIA",12584,69206,87297,80.08,22.26
2007,"FL","ANNA MARIA",11549,71576,87910,0.7,-8.22
2008,"FL","ANNA MARIA",19198,135538,163336,85.8,66.23
2009,"FL","ANNA MARIA",11270,89172,106777,-34.63,-41.3
2010,"FL","ANNA MARIA",14729,98501,116547,9.15,30.69
2011,"FL","ANNA MARIA",14677,90570,104982,-9.92,-0.35
2012,"FL","ANNA MARIA",13514,75952,86422,-17.68,-7.92
2013,"FL","ANNA MARIA",14359,86031,96205,11.32,6.25
2014,"FL","ANNA MARIA",13106.23,72108,79156,-17.72,-8.72
2015,"FL","ANNA MARIA",15329.58,106977.5,116269,46.89,16.96
2016,"FL","ANNA MARIA",11371.44,75484,81226,-30.14,-25.82
2017,"FL","ANNA MARIA",16011,84027,88734,9.24,40.8
2018,"FL","ANNA MARIA",12121,68581,70722,-20.3,-24.3
2019,"FL","ANNA MARIA",11816,79477,80515,13.85,-2.52
2020,"FL","ANNA MARIA",9331,76231,76231,-5.32,-21.03
1977,"FL","APALACHICOLA",1283087,1426407,4855572,0,0
1978,"FL","APALACHICOLA",4127913,3395957,10800084,122.43,221.72
1979,"FL","APALACHICOLA",4856924,5789382,17001475,57.42,17.66
1980,"FL","APALACHICOLA",2111906,3391436,9134383,-46.27,-56.52
1981,"FL","APALACHICOLA",2941760,4731415,11641960,27.45,39.29
1982,"FL","APALACHICOLA",1695547,3615267,8377997,-28.04,-42.36
1983,"FL","APALACHICOLA",1901528,4214497,9398554,12.18,12.15
1984,"FL","APALACHICOLA",2493421,4732947,10187151,8.39,31.13
1985,"FL","APALACHICOLA",2901527,5093921,10627964,4.33,16.37
1986,"FL","APALACHICOLA",2227701,4976201,10177447,-4.24,-23.22
1987,"FL","APALACHICOLA",1969982,3265617,6517713,-35.96,-11.57
1988,"FL","APALACHICOLA",3494535,37543906,72379250,1010.5,77.39
1989,"FL","APALACHICOLA",3297314,16303900,30245750,-58.21,-5.64
1990,"FL","APALACHICOLA",2264401,24971811,44654221,47.64,-31.33
1991,"FL","APALACHICOLA",2492953,24476737,42337093,-5.19,10.09
1992,"FL","APALACHICOLA",2363583,31871026,53898710,27.31,-5.19
1993,"FL","APALACHICOLA",3106191,21950685,36262274,-32.72,31.42
1994,"FL","APALACHICOLA",4277112,18459508,29857659,-17.66,37.7
1995,"FL","APALACHICOLA",3676432,10153829,16085983,-46.12,-14.04
1996,"FL","APALACHICOLA",5237938,13283533,20665773,28.47,42.47
1997,"FL","APALACHICOLA",4565241,12471498,19073604,-7.7,-12.84
1998,"FL","APALACHICOLA",7340080,17206325,26022177,36.43,60.78
1999,"FL","APALACHICOLA",3567684,7200954,10739141,-58.73,-51.39
2000,"FL","APALACHICOLA",4241247,9825598,14328686,33.42,18.88
2001,"FL","APALACHICOLA",3039559,5786847,8253020,-42.4,-28.33
2002,"FL","APALACHICOLA",3160987,5718798,8030852,-2.69,3.99
2003,"FL","APALACHICOLA",2782995,5166569,7114952,-11.4,-11.96
2004,"FL","APALACHICOLA",3235105,5665445,7597997,6.79,16.25
2005,"FL","APALACHICOLA",3082208,5560890,7230985,-4.83,-4.73
2006,"FL","APALACHICOLA",3699580,7030692,8868566,22.65,20.03
2007,"FL","APALACHICOLA",2753865,6193456,7606879,-14.23,-25.56
2008,"FL","APALACHICOLA",2694130,5869023,7072741,-7.02,-2.17
2009,"FL","APALACHICOLA",2361264,4836783,5791678,-18.11,-12.36
2010,"FL","APALACHICOLA",2161907,5115180,6052303,4.5,-8.44
2011,"FL","APALACHICOLA",2683178,6825701,7911819,30.72,24.11
2012,"FL","APALACHICOLA",2158280,6144229,6991147,-11.64,-19.56
2013,"FL","APALACHICOLA",1688505,5043379,5639803,-19.33,-21.77
2014,"FL","APALACHICOLA",1575712.38,5162249.36,5666749,0.48,-6.68
2015,"FL","APALACHICOLA",2349378.01,5936001.06,6451576,13.85,49.1
2016,"FL","APALACHICOLA",2089339.1,5741581.62,6178365,-4.23,-11.07
2017,"FL","APALACHICOLA",1364797,4519765,4772915,-22.75,-34.68
2018,"FL","APALACHICOLA",1187356,4044116,4170382,-12.62,-13
2019,"FL","APALACHICOLA",1163827,3875262,3925846,-5.86,-1.98
2020,"FL","APALACHICOLA",746289,2743406,2743406,-30.12,-35.88
2001,"FL","APOLLO BEACH",114,194,277,0,0
2016,"FL","APOLLO BEACH",3072,4245,4568,1549.1,2594.74
1986,"FL","APOPKA",423733,663076,1356140,0,0
1987,"FL","APOPKA",202713,325068,648790,-52.16,-52.16
1988,"FL","APOPKA",44108,81699,157505,-75.72,-78.24
1989,"FL","APOPKA",231953,374046,693901,340.56,425.88
1990,"FL","APOPKA",515132,830695,1485437,114.07,122.08
1991,"FL","APOPKA",335177,514335,889641,-40.11,-34.93
2000,"LA","ARABI",4875,11463,16716,0,0
2001,"LA","ARABI",18,20,29,-99.83,-99.63
2002,"LA","ARABI",103,241,338,1065.52,472.22
2003,"LA","ARABI",1219,1516,2088,517.75,1083.5
2004,"LA","ARABI",1357,1673,2244,7.47,11.32
2005,"LA","ARABI",1591,1922,2499,11.36,17.24
2006,"LA","ARABI",701,931,1174,-53.02,-55.94
2007,"LA","ARABI",1321,4980,6116,420.95,88.45
2008,"LA","ARABI",100,350,422,-93.1,-92.43
2009,"LA","ARABI",1222,2850,3413,708.77,1122
2011,"LA","ARABI",400,1100,1275,-62.64,-67.27
2015,"LA","ARABI",242,1188,1291,1.25,-39.5
2016,"LA","ARABI",618,2586,2783,115.57,155.37
2017,"LA","ARABI",628,1815,1917,-31.12,1.62
2018,"LA","ARABI",1069,2593,2674,39.49,70.22
2019,"LA","ARABI",2317,9474,9597,258.9,116.74
2020,"LA","ARABI",672,1503,1503,-84.34,-71
1977,"TX","ARANSAS PASS",19771196,30040050,102258033,0,0
1978,"TX","ARANSAS PASS",18230564,34302647,109091965,6.68,-7.79
1979,"TX","ARANSAS PASS",17251479,43802734,128633928,17.91,-5.37
1980,"TX","ARANSAS PASS",15544616,33330342,89770854,-30.21,-9.89
1981,"TX","ARANSAS PASS",19845166,36979256,90989936,1.36,27.67
1982,"TX","ARANSAS PASS",12281844,35940793,83288946,-8.46,-38.11
1983,"TX","ARANSAS PASS",14064922,38898802,86746398,4.15,14.52
1984,"TX","ARANSAS PASS",17717351,40808375,87835580,1.26,25.97
1985,"TX","ARANSAS PASS",15767926,33704115,70320319,-19.94,-11
1986,"TX","ARANSAS PASS",14700172,39969224,81746022,16.25,-6.77
1987,"TX","ARANSAS PASS",13002994,32224528,64315658,-21.32,-11.55
1988,"TX","ARANSAS PASS",11903860,29643618,57148632,-11.14,-8.45
1989,"TX","ARANSAS PASS",14155116,32080516,59513320,4.14,18.91
1990,"TX","ARANSAS PASS",17762739,36638650,65516685,10.09,25.49
1991,"TX","ARANSAS PASS",20189316,41445290,71687378,9.42,13.66
1992,"TX","ARANSAS PASS",12807920,26822141,45360283,-36.72,-36.56
1993,"TX","ARANSAS PASS",10758242,20782870,34333058,-24.31,-16
1994,"TX","ARANSAS PASS",10932597,26080934,42185070,22.87,1.62
1995,"TX","ARANSAS PASS",10036332,22151179,35092517,-16.81,-8.2
1996,"TX","ARANSAS PASS",7076864,15087683,23472572,-33.11,-29.49
1997,"TX","ARANSAS PASS",6175505,14934878,22841035,-2.69,-12.74
1998,"TX","ARANSAS PASS",6204046,12390782,18739336,-17.96,0.46
1999,"TX","ARANSAS PASS",5197437,12549598,18715837,-0.13,-16.23
2000,"TX","ARANSAS PASS",5569606,15379453,22427885,19.83,7.16
2001,"TX","ARANSAS PASS",3310668,8723206,12440762,-44.53,-40.56
2002,"TX","ARANSAS PASS",4180717,7175040,10075840,-19.01,26.28
2003,"TX","ARANSAS PASS",3134452,5621020,7740781,-23.17,-25.03
2004,"TX","ARANSAS PASS",2547214,5223854,7005775,-9.5,-18.73
2005,"TX","ARANSAS PASS",2122309,4054584,5272294,-24.74,-16.68
2006,"TX","ARANSAS PASS",2585352,3645737,4598760,-12.77,21.82
2007,"TX","ARANSAS PASS",1690751,2651915,3257113,-29.17,-34.6
2008,"TX","ARANSAS PASS",1416233,2925759,3525821,8.25,-16.24
2009,"TX","ARANSAS PASS",1950543,2391809,2864010,-18.77,37.73
2010,"TX","ARANSAS PASS",1876262,3417049,4043067,41.17,-3.81
2011,"TX","ARANSAS PASS",2651238,5654049,6553730,62.1,41.3
2012,"TX","ARANSAS PASS",2308154,4630291,5268530,-19.61,-12.94
2013,"TX","ARANSAS PASS",2957867,6828872,7636450,44.94,28.15
2014,"TX","ARANSAS PASS",1825655,6146417.25,6747101,-11.65,-38.28
2015,"TX","ARANSAS PASS",1841347,2844155.5,3091188,-54.18,0.86
2016,"TX","ARANSAS PASS",1642910,2481009.5,2669750,-13.63,-10.78
2017,"TX","ARANSAS PASS",2074609,4126598,4357728,63.23,26.28
2018,"TX","ARANSAS PASS",1612239,3648157,3762060,-13.67,-22.29
2019,"TX","ARANSAS PASS",1475099,2894030,2931803,-22.07,-8.51
2020,"TX","ARANSAS PASS",533525,1009000,1009000,-65.58,-63.83
1991,"FL","ARCHER",100,45,78,0,0
1992,"FL","ARCHER",12240,6365,10764,13700,12140
1993,"FL","ARCHER",21601,13400,22136,105.65,76.48
1994,"FL","ARCHER",20494,12108,19584,-11.53,-5.12
1995,"FL","ARCHER",8960,8708,13796,-29.55,-56.28
1996,"FL","ARCHER",1507,1507,2344,-83.01,-83.18
1996,"FL","ARIPEKA",2250,2250,3500,0,0
1997,"FL","ARIPEKA",2325,6527,9982,185.2,3.33
1998,"FL","ARIPEKA",1568,1927,2915,-70.8,-32.56
1999,"FL","ARIPEKA",537,1740,2595,-10.98,-65.75
2000,"FL","ARIPEKA",220,1430,2085,-19.65,-59.03
2001,"FL","ARIPEKA",986,4005,5712,173.96,348.18
2002,"FL","ARIPEKA",1688,8485,11915,108.6,71.2
2003,"FL","ARIPEKA",3758,20066,27633,131.92,122.63
2004,"FL","ARIPEKA",1420,7411,9939,-64.03,-62.21
2005,"FL","ARIPEKA",1592,9730,12652,27.3,12.11
2006,"FL","ARIPEKA",552,8393,10587,-16.32,-65.33
2007,"FL","ARIPEKA",753,11580,14223,34.34,36.41
2008,"FL","ARIPEKA",1038,14106,16999,19.52,37.85
2009,"FL","ARIPEKA",1642,17670,21158,24.47,58.19
2010,"FL","ARIPEKA",1492,9189,10872,-48.62,-9.14
2012,"FL","ARIPEKA",573,6392,7273,-33.1,-61.6
2013,"FL","ARIPEKA",1958,24051,26895,269.79,241.71
2014,"FL","ARIPEKA",2227.5,36628.5,40208,49.5,13.76
2015,"FL","ARIPEKA",2110,35635,38730,-3.68,-5.27
2016,"FL","ARIPEKA",2819,48270,51942,34.11,33.6
2017,"FL","ARIPEKA",8693,125654,132692,155.46,208.37
2018,"FL","ARIPEKA",22029,194669,200746,51.29,153.41
2019,"FL","ARIPEKA",16132,217424,220262,9.72,-26.77
2020,"FL","ARIPEKA",14474,246083,246083,11.72,-10.28
2000,"LA","ARNAUDVILLE",249,500,729,0,0
2001,"LA","ARNAUDVILLE",577,1160,1654,126.89,131.73
2002,"LA","ARNAUDVILLE",218,420,590,-64.33,-62.22
2006,"LA","ARNAUDVILLE",1251,2015,2542,330.85,473.85
2007,"LA","ARNAUDVILLE",2527,4031,4951,94.77,102
2008,"LA","ARNAUDVILLE",2463,5108,6155,24.32,-2.53
2009,"LA","ARNAUDVILLE",27147,15053,18025,192.85,1002.19
2010,"LA","ARNAUDVILLE",17839,21295,25196,39.78,-34.29
2011,"LA","ARNAUDVILLE",1209,2418,2803,-88.88,-93.22
2020,"LA","ARNAUDVILLE",328,295,295,-89.48,-72.87
2019,"TX","ARROYO CITY",2825,2540,2573,0,0
1989,"FL","ASTOR",799,392,727,0,0
2011,"LA","ATLANTA",298,375,435,0,0
2002,"FL","ATLANTIC BEACH",433,1377,1934,0,0
2005,"FL","ATLANTIC BEACH",4966,13225,17195,789.09,1046.88
2006,"FL","ATLANTIC BEACH",3650,8988,11336,-34.07,-26.5
2007,"FL","ATLANTIC BEACH",1979,18437,22645,99.76,-45.78
2009,"FL","ATLANTIC BEACH",12477,63361,75870,235.04,530.47
2010,"FL","ATLANTIC BEACH",3568,18027,21330,-71.89,-71.4
2016,"AL","AUBURN",45,72.5,78,0,0
2020,"TX","AUSTWELL",111843,593696,593696,0,0
2005,"LA","AVERY ISLAND",109,220,286,0,0
2006,"LA","AVERY ISLAND",389,780,984,244.06,256.88
2001,"LA","AVONDALE",2203,2173,3099,0,0
2002,"LA","AVONDALE",3656,2889,4057,30.91,65.96
2003,"LA","AVONDALE",2058,1710,2356,-41.93,-43.71
2004,"LA","AVONDALE",444,619,830,-64.77,-78.43
1996,"TX","BACLIFF",317,3177,4943,0,0
2001,"TX","BACLIFF",154715,202516,288822,5743.05,48705.99
2002,"TX","BACLIFF",410697,990172,1390488,381.43,165.45
2003,"TX","BACLIFF",388640,798871,1100136,-20.88,-5.37
2004,"TX","BACLIFF",332991,776895,1041904,-5.29,-14.32
2005,"TX","BACLIFF",541985,1470228,1911780,83.49,62.76
2006,"TX","BACLIFF",805489,2713526,3422862,79.04,48.62
2007,"TX","BACLIFF",1270072,3710465,4557237,33.14,57.68
2008,"TX","BACLIFF",1733351,5086369,6129565,34.5,36.48
